competitor_id,name,country,country_code,abbreviation
152898,"Gengel, Marek",Czechia,CZE,GEN
373348,"Pucinelli de Almeida, Matheus",Brazil,BRA,PDA
114885,"Nikles, Johan",Switzerland,CHE,NIK
252233,"Tang, Sheng",China,CHN,TAN
137890,"Vale, Duarte",Portugal,PRT,VAL
283965,"Suresh, Dhakshineswar",India,IND,SUR
317355,"Somani, Parikshit",India,IND,SOM
978579,"Ghazouani Durand, Yanis",France,FRA,GHA
71280,"Kokkinakis, Thanasi",Australia,AUS,KOK
287541,"Sweeny, Dane",Australia,AUS,SWE
684577,"Muller, Rik",Netherlands,NLD,MUL
938667,"Schwaerzler, Joel",Austria,AUT,SCH
682903,"Nakagawa, Shunsuke",Japan,JPN,NAK
165234,"Vasa, Eero",Finland,FIN,VAS
256375,"Jeong, Yeongseok",Republic of Korea,KOR,JEO
570833,"Rodriguez Rodriguez, Johan Alexander",Colombia,COL,ROD
501410,"Hignett, Liam",Great Britain,GBR,HIG
246745,"Tajima, Naoki",Japan,JPN,TAJ
759758,"Sakellaridis, Dimitris",Greece,GRC,SAK
56361,"Sels, Jelle",Netherlands,NLD,SEL
130438,"Ponwith, Nathan",USA,USA,PON
57327,"Domingues, Joao",Portugal,PRT,DOM
100317,"Turker, Mert Naci",Turkiye,TUR,TUR
404753,"Saritas, Gokberk",Turkiye,TUR,SAR
997473,"Bernet, Henry",Switzerland,CHE,BER
107625,"Janvier, Maxime",France,FRA,JAN
686911,"Poljicak, Mili",Croatia,HRV,POL
283759,"Chidekh, Clement",France,FRA,CHI
217038,"Seeman, Johannes",Estonia,EST,SEE
322729,"Bueno Gil, Alvaro",Spain,ESP,BUE
220932,"Shin, Sanhui",Republic of Korea,KOR,SHI
92667,"Castelnuovo, Luca",Switzerland,CHE,CAS
403357,"Thayne, Wally",USA,USA,THA
418167,"Garcian, Axel",France,FRA,GAR
199196,"Sanchez Izquierdo, Nikolas",Spain,ESP,SAI
990785,"Zheng, Zhan",China,CHN,ZHE
327067,"Beloborodko, Illya",Ukraine,UKR,BI
124656,"Vukic, Aleksandar",Australia,AUS,VUK
112987,"Handel, Tim",Germany,DEU,HAN
269535,"Potenza, Luca",Italy,ITA,POT
161874,"Corwin, Felix",USA,USA,COR
867575,"Massard, Loann",France,FRA,MAS
269523,"Bax, Florent",France,FRA,BAX
181384,"Sinha, Nitin Kumar",India,IND,SIN
113859,"Bellier, Antoine",Switzerland,CHE,BEL
378220,"Huertas Del Pino Cordova, Arklon",Peru,PER,HUE
268725,"Ramskogler, Gregor",Austria,AUT,RAM
609146,"Okonkwo, Oliver",Great Britain,GBR,OKO
120958,"Bertran, Peter",Dominican Republic,DOM,BER
373852,"Zink, Tyler",USA,USA,ZIN
801374,"Gea, Arthur",France,FRA,GEA
294248,"Hellum Lilleengen, Lukas",Norway,NOR,HEL
72376,"Siniakova, Katerina",Czechia,CZE,SIN
74949,"Routliffe, Erin",New Zealand,NZL,ROU
43860,"Dabrowski, Gabriela",Canada,CAN,DAB
41520,"Kichenok, Lyudmyla",Ukraine,UKR,KIC
51387,"Townsend, Taylor",USA,USA,TOW
18936,"Hsieh, Su-Wei",Chinese Taipei,TPE,HSI
78551,"Mertens, Elise",Belgium,BEL,MER
64496,"Ostapenko, Jelena",Latvia,LVA,OST
19202,"Errani, Sara",Italy,ITA,ERR
69208,"Paolini, Jasmine",Italy,ITA,PAO
64021,"Krawczyk, Desirae",USA,USA,KRA
46084,"Melichar-Martinez, Nicole",USA,USA,MEL
119670,"Perez, Ellen",Australia,AUS,PER
123824,"Dolehide, Caroline",USA,USA,DOL
19932,"Muhammad, Asia",USA,USA,MUH
48625,"Chan, Hao-Ching",Chinese Taipei,TPE,CHA
66968,"Kudermetova, Veronika",Neutral,,KUD
47810,"Khromacheva, Irina",Neutral,,KHR
37508,"Siegemund, Laura",Germany,DEU,SIE
18354,"Mattek-Sands, Bethanie",USA,USA,MAT
99131,"Bucsa, Cristina",Spain,ESP,BUC
69718,"Danilina, Anna",Kazakhstan,KAZ,DAN
91960,"Kenin, Sofia",USA,USA,KEN
373352,"Gauff, Coco",USA,USA,GAU
50537,"Schuurs, Demi",Netherlands,NLD,SCH
19607,"Zhang, Shuai",China,CHN,ZHA
96075,"Stefani, Luisa",Brazil,BRA,STE
24431,"Panova, Alexandra",Neutral,,PAN
33593,"Mladenovic, Kristina",France,FRA,MLA
153652,"Guo, Hanyu",China,CHN,GUO
45835,"Hunter, Storm",Australia,AUS,HUN
60398,"Krejcikova, Barbora",Czechia,CZE,KRE
289507,"Fernandez, Leylah Annie",Canada,CAN,FER
19655,"Niculescu, Monica",Romania,ROU,NIC
51481,"Sutjiadi, Aldila",Indonesia,IDN,SUT
588071,"Shnaider, Diana",Neutral,,SHN
150122,"Jiang, Xinyu",China,CHN,JIA
66432,"Kato, Miyu",Japan,JPN,KAT
47801,"Eikeri, Ulrikke",Norway,NOR,EIK
166124,"Olmos, Giuliana",Mexico,MEX,OLM
129714,"Nicholls, Olivia",Great Britain,GBR,NIC
182178,"Wu, Fang-Hsien",Chinese Taipei,TPE,FAN
142996,"Mihalikova, Tereza",Slovakia,SVK,MIH
70784,"Hozumi, Eri",Japan,JPN,HOZ
19974,"Xu, Yifan",China,CHN,YIF
43547,"Aoyama, Shuko",Japan,JPN,AOY
138452,"Shibahara, Ena",Japan,JPN,SHI
44834,"Pegula, Jessica",USA,USA,PEG
49682,"Kichenok, Nadiia",Ukraine,UKR,KIC
60392,"Sorribes Tormo, Sara",Spain,ESP,SOR
871583,"Andreeva, Mirra",Neutral,,AND
105463,"Bouzkova, Marie",Czechia,CZE,BOU
43102,"Babos, Timea",Hungary,HUN,BAB
60668,"Ninomiya, Makoto",Japan,JPN,NIN
272217,"Wang, Xinyu",China,CHN,WAN
61606,"Sizikova, Yana",Neutral,,SIZ
103901,"Ruse, Elena-Gabriela",Romania,ROU,RUS
157672,"Stollar, Fanny",Hungary,HUN,STO
128584,"Samsonova, Liudmila",Neutral,,SAM
59702,"Haddad Maia, Beatriz",Brazil,BRA,HAD
278887,"Kostyuk, Marta",Ukraine,UKR,KOS
67759,"Alexandrova, Ekaterina",Neutral,,ALE
19731,"Piter, Katarzyna",Poland,POL,PIT
41524,"Krunic, Aleksandra",Serbia,SRB,KA
53789,"Dart, Harriet",Great Britain,GBR,DAR
23158,"Stephens, Sloane",USA,USA,STE
401055,"Noskova, Linda",Czechia,CZE,NOS
135854,"Neel, Ingrid",Estonia,EST,NEE
47697,"Zheng, Saisai",China,CHN,ZHE
549759,"Krueger, Ashlyn",USA,USA,KRU
37504,"Kalashnikova, Oksana",Georgia,GEO,KAL
41877,"Yuan, Yue",China,CHN,YUA
42289,"Linette, Magda",Poland,POL,LIN
52695,"Moratelli, Angelica",Italy,ITA,MOR
256547,"Parks, Alycia",USA,USA,PAR
215476,"Siskova, Anna",Czechia,CZE,SIS
194106,"Tang, Qianhui",China,CHN,TAN
69602,"Lumsden, Maia",Great Britain,GBR,LUM
252223,"Rakhimova, Kamilla",Neutral,,RAK
52025,"Wang, Yafan",China,CHN,WAN
44977,"Santamaria, Sabrina",USA,USA,SAN
71754,"Martins, Ingrid",Brazil,BRA,MAR
41404,"Watson, Heather",Great Britain,GBR,WAT
150574,"Bondar, Anna",Hungary,HUN,BON
18298,"Zvonareva, Vera",Neutral,,ZVO
73542,"Gleason, Quinn",USA,USA,GLE
234150,"Potapova, Anastasia",Neutral,,POT
42492,"Kawa, Katarzyna",Poland,POL,KAW
48451,"Cavalle-Reimers, Yvonne",Spain,ESP,CAV
54175,"Zimmermann, Kimberley",Belgium,BEL,ZIM
42339,"Garcia, Caroline",France,FRA,GAR
182054,"Skoch, Miriam",Czechia,CZE,SKO
168526,"Appleton, Emily",Great Britain,GBR,APP
262759,"Wang, Xiyu",China,CHN,WAN
173748,"Detiuc, Anastasia",Czechia,CZE,DET
179146,"Kalinskaya, Anna",Neutral,,KAL
192130,"Blinkova, Anna",Neutral,,BLI
51651,"Rosatello, Camilla",Italy,ITA,ROS
92879,"Shymanovich, Iryna",Neutral,,SHY
228418,"Navarro, Emma",USA,USA,NAV
19546,"Pavlyuchenkova, Anastasia",Neutral,,PAV
88310,"Sherif Ahmed Abdelaziz, Maiar",Egypt,EGY,SHE
90664,"Kalinina, Anhelina",Ukraine,UKR,KAL
45827,"Lechemia, Elixane",France,FRA,LEC
227486,"Zantedeschi, Aurora",Italy,ITA,ZAN
121760,"Anshba, Amina",Neutral,,ANS
210558,"Jorge, Francisca",Portugal,PRT,JOR
45545,"Putintseva, Yulia",Kazakhstan,KAZ,PUT
51943,"Strakhova, Valeriya",Ukraine,UKR,STR
49907,"Murray Sharan, Samantha",Great Britain,GBR,MUS
286435,"Gadecki, Olivia",Australia,AUS,GAD
335171,"Uchijima, Moyuka",Japan,JPN,UCH
53288,"Silva, Eden",Great Britain,GBR,SIL
161270,"Salden, Lara",Belgium,BEL,SAL
360038,"Stearns, Peyton",USA,USA,STE
453301,"Jorge, Matilde",Portugal,PRT,JOR
378340,"Corley, Carmen",USA,USA,COR
67430,"Cascino, Estelle",France,FRA,CAS
418583,"Haverlag, Isabelle",Netherlands,NLD,HAV
318195,"Parry, Diane",France,FRA,PAR
19847,"Rus, Arantxa",Netherlands,NLD,RUS
52489,"Schoofs, Bibiane",Netherlands,NLD,SCH
118096,"Papadakis, Lena",Germany,DEU,PAP
45902,"Sasnovich, Aliaksandra",Neutral,,SAS
72450,"Hibino, Nao",Japan,JPN,HIB
50915,"Plipuech, Peangtarn",Thailand,THA,PLI
